GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
repository-jpa,com.epam.lab.model,Author,78,83,6,6,22,20,13,7,7,7
repository-jpa,com.epam.lab.model,News,180,112,7,7,52,27,24,7,17,7
repository-jpa,com.epam.lab.model,SearchCriteria,24,0,0,0,10,0,7,0,7,0
repository-jpa,com.epam.lab.model,BaseEntity,0,3,0,0,0,1,0,1,0,1
repository-jpa,com.epam.lab.model,Tag,49,49,3,3,13,15,8,6,5,6
repository-jpa,com.epam.lab.exception,DaoException,16,0,0,0,8,0,4,0,4,0
repository-jpa,com.epam.lab.configuration,DatabaseConfigurator,92,0,0,0,21,0,5,0,5,0
repository-jpa,com.epam.lab.repository.impl,AuthorDaoImpl,73,72,5,3,17,16,6,9,3,8
repository-jpa,com.epam.lab.repository.impl,TagDaoImpl,73,68,5,3,16,13,6,9,3,8
repository-jpa,com.epam.lab.repository.impl,NewsDaoImpl,142,72,9,3,29,16,10,9,5,8
